id_cliente,nombre_cliente,ingresos_ano_anterior,egresos_ano_anterior,valor_credito_mora,numero_cuotas_mora,edad
101320,Juliana Diego Restrepo Rojas,35000000 COP,19112391.00,0,0 cuotas,20.5
100744,Daniela Mejía Hernández,12000000,5906182 COP,0,0,48
100988,Claudia Camilo Castro Pérez,50000000,,0 COP,0,14
100907,Verónica Juan Pérez Mendoza,18000000,$11254630,$ 0,,32
101109,Paula Alejandro Moreno Ospina,7200000,5131854,12000000,2,14.5
103121,"AL-ASSAD, Bashar",7200000,$3917177,"$ 1,200,000",5,48
100931,Camilo Laura Castro Mendoza,35000000,,"$ 500,000",3,30
103574,Ana Andrés Mejía González,"$ 25,000,000",18608474 COP,0 COP,0,36
101034,Mahmoud Khaled Zahhar,12000000,8422281,0,0.0,74
101016,,,3176252 COP,12000000.00,7,35
103523,Camilo Valencia Silva,$12000000,8820801,$ 0,,16
102705,Laura Sofía Morales Chávez,25000000,11100747,0,0,66
102823,HEZBOLLAH,"$ 35,000,000",20331138.00,0.00,0,44
103226,Diego Ortiz Chávez,25000000 COP,11517826.00,1200000.00,,36
102652,"SAAB MORAN, Alex Nain",3500000,2533491 COP,$3500000,7.0,14
101115,Fernando Diego Silva Navarro,7200000.00,$6198725,,0,53
102761,Gonzalo Juan Pérez Ortiz,35000000,"$ 18,675,521",0 COP,0 cuotas,39.5
103752,María Camila Jaramillo Valencia,35000000,27350271 COP,0.00,0,48
102744,José Mateo Jiménez Hernández,"$ 12,000,000",$9268230,0.00,0,67
101288,Esteban María Ospina Pérez,25000000 COP,11246396,1200000,2.0,16 años
100222,Carlos Juliana Ospina Arias,,$2890589,$ 0,0,62
101794,Ana Ramírez Mendoza,2500000,"$ 1,771,824",,12.0,49 años
101272,Diosdado Cabello Rondon,25000000,12079559,0,0,63 años
102935,Diana Diana Torres Mejía,"$ 18,000,000",12293352,"$ 6,400,000",10,27
103775,Gabriel Felipe Suárez Castro,"$ 9,500,000",,$ 0,0,
101158,Mateo Rojas Gómez,50000000 COP,"$ 27,478,856",$ 0,0,46.5
102260,Felipe Javier Moreno Jiménez,18000000.00,12347304 COP,6400000,5 cuotas,48
101303,Gabriel Jorge Arias López,25000000 COP,,3500000.00,4,21.5
103562,Felipe María Ramírez Jiménez,5000000 COP,,0 COP,0,64
103201,Mateo Felipe García Jaramillo,9500000,5351915,$ 0,0,26
103573,Juliana Hernández Mejía,25000000,$22092300,0 COP,0.0,71
101817,Jorge Lucía González González,$18000000,,0,0,32 años
101535,"CARO QUINTERO, Rafael",$9500000,6576660 COP,1200000,8 cuotas,41
102038,Santiago Suárez Gutiérrez,3500000,"$ 2,511,956",0,0,57
100302,Carlos Diego Mendoza Díaz,$3500000,1570085,0 COP,0,37.5
103495,,,2858962 COP,3500000,4.0,74
100033,Fernando Navarro Rojas,12000000 COP,,0.00,,24.5
102607,,,5190136,0.00,0.0,70
100136,Andrés María Silva Valencia,35000000,$17625253,0.00,,
102174,Mateo Ramírez Romero,5000000.00,"$ 4,468,818",500000,3,35 años
100308,Santiago Lucía Gómez Sánchez,"$ 7,200,000",3682524,500000,5,40
101083,Natalia Navarro Gómez,"$ 9,500,000",4048895.00,0 COP,0,38
101931,Daniela Natalia González Ortiz,35000000.00,"$ 17,877,120",$ 0,0,55
100477,Luis Diego Silva Arias,18000000,"$ 11,036,462",0,,76.5
103634,"SAAB MORAN, Alex Nain",50000000,33708910 COP,0 COP,0,26
103414,Juliana Felipe Arias González,35000000,26614698,3500000,8,68
102808,Sofía Gabriel Romero González,"$ 12,000,000",10521555,500000,2,38
102628,Valentina Diego Pérez Morales,50000000.00,"$ 43,915,615",0 COP,0 cuotas,26
103223,Nicolas Maduro Moros,12000000.00,5421603,,0,36
101135,Jorge Torres Gómez,50000000,25653977.00,0,0,25
102411,Juan Moreno Gutiérrez,"$ 5,000,000",2683175 COP,0.00,,62
102102,Diana Javier Valencia Romero,2500000.00,1114697,0.00,0,43
101235,"LUKASHENKO, Aleksandr",50000000,22123925,0,0,67.5
103683,Lucía Verónica Valencia García,"$ 18,000,000",9658501,$ 0,0,49
102070,Gonzalo Mendoza Ospina,2500000 COP,1275648,"$ 1,200,000",3,51
103389,Sofía Jorge Arias Jiménez,5000000.00,2322964,$ 0,,17
100274,Patricia Torres Jaramillo,$25000000,21514530.00,0 COP,0,20
101448,Andrés Alejandro Sánchez Arias,"$ 50,000,000",31502422,,0,38
102689,Ricardo Morales Torres,9500000,"$ 7,342,572",500000.00,,51
100118,Claudia Lucía Rodríguez Rojas,5000000,,0,0,64.5
103035,Camila Esteban García Torres,50000000,38996928 COP,$ 0,0 cuotas,49
103181,Alejandro Silva Hernández,25000000,15527600,12000000,2,27
101989,Ana Claudia Valencia Restrepo,3500000.00,2476264,0,0,16
100454,HAMAS,50000000,31890725,3500000,12,59
100837,Jorge Martínez Gómez,35000000,23148090,"$ 6,400,000",6,17.5
101557,,,2376435,0.00,0,39
101883,Esteban María Restrepo Rodríguez,"$ 9,500,000",8396558,0,0,27.5
100703,Fernando Rodríguez Hernández,$5000000,"$ 3,675,290",0,0,68
101621,Laura Navarro Pérez,9500000,4656248 COP,0.00,0.0,
102979,Diana Valentina Moreno Moreno,3500000.00,"$ 2,288,456",$ 0,0 cuotas,36 años
103113,Nicolas Maduro Moros,"$ 5,000,000",,0 COP,,56
101801,Mariana Gonzalo Hernández Torres,"$ 25,000,000","$ 17,632,442",,5,
100154,Paula Ricardo Ospina Valencia,50000000,44610994,,0.0,30
102377,José Adriana Suárez Ospina,9500000,4047854,0,,69
102053,Bashar Al Assad,35000000,16578601 COP,6400000 COP,6,35
102898,José Camila López Gutiérrez,3500000,2056097 COP,$ 0,0,41
103232,Fernando Jiménez Martínez,25000000,"$ 18,700,899",0,0.0,36.5
100333,Fernando Torres Jiménez,35000000.00,30453954,,0,15 años
102289,Esteban Pérez Silva,50000000,31427840 COP,0,0,17
100074,Camilo Restrepo Romero,18000000,7214079.00,500000 COP,9,63
100316,Valentina Ramírez Torres,35000000,23697659,$ 0,0,50
100664,María Andrés Suárez Torres,"$ 3,500,000",2750127,$12000000,6,14
102770,,,17896698,0 COP,0,47.5
103312,Mariana Gutiérrez Silva,2500000,1394494,0 COP,0,68
103345,Fernando Adriana Arias Díaz,2500000,2082247,0 COP,0,30
100343,,,3240508 COP,0,0,42
100218,Jorge Paula Rodríguez Arias,12000000,5415587,0 COP,0,15
103241,Juan González Jiménez,12000000,8489108.00,0,0,46
103710,Andrés Javier Valencia Gómez,5000000,4381973.00,0,0,
100499,Camilo Fernando Gutiérrez Silva,18000000,15745204,$ 0,0,59
102444,"KIM, Jong Un",12000000.00,7188204,,8.0,54
100006,Jong-Un Kim,7200000,6466914 COP,0,0,16
103577,Camilo Luis Rodríguez Suárez,$25000000,22465780 COP,$ 0,0,15 años
101412,"AL-SHANTI, Jamileh Abdullah",5000000 COP,3779522.00,0.00,0,36 años
103401,Andrés Jiménez Vargas,25000000.00,10328550,0.00,0,26
100825,Luis Diego López Mendoza,"$ 25,000,000",$16571195,3500000,11,16
101462,Juliana María Castro Mendoza,35000000,25196393 COP,0,0 cuotas,26 años
102032,Esteban Daniela Jiménez Vargas,12000000,10408427 COP,$ 0,0 cuotas,37
101315,Lucía Vargas Mendoza,9500000,,0.00,0,58.5
101831,Lucía Valencia Moreno,50000000 COP,28440489,0,0,28
102101,Ana Navarro Romero,7200000,5641052.00,$ 0,0,54
103188,Mariana García Gutiérrez,18000000,9876904,0 COP,0,33 años
102350,Mariana Natalia Valencia García,$12000000,9205198 COP,3500000.00,9,27
100106,China Aerospace Science & Tech Corp,5000000,2242029,0.00,,35
102883,"GUZMAN LOERA, Joaquin",50000000,38028210,0 COP,0,70
100707,,,11749000,0,0,19
103487,Gonzalo Luis Mendoza Silva,25000000,13571854,3500000,12,71
103244,"EL AISSAMI MADDAH, Tareck Zaidan",7200000,4185085,$ 0,0 cuotas,14
101266,,,2089331,0.00,0,57
102785,Andrés Luis Valencia Ospina,2500000,,0.00,0,
103405,Camila Andrés Restrepo Martínez,50000000,,0 COP,0,28
101026,Jorge Mendoza Pérez,12000000 COP,8842838.00,0,0,70
100701,Juliana Díaz Torres,"$ 50,000,000",34440859.00,,7,59
102627,María Juan Pérez López,25000000,"$ 13,921,156",0 COP,0 cuotas,14
101978,Juan Juliana Mendoza Silva,35000000,"$ 17,628,479",$ 0,0.0,
101702,HEZBOLLAH,$12000000,"$ 8,855,211",$ 0,0,52
103115,Gonzalo Paula Navarro Ramírez,9500000 COP,4868118,"$ 1,200,000",12,33
101015,HEZBOLLAH,"$ 9,500,000",4378902,$ 0,0.0,68
100777,Gabriel Santiago Hernández Hernández,3500000,2006136,0.00,0 cuotas,36
100986,Juan Navarro Ospina,"$ 5,000,000",2273066,12000000.00,4,53
101765,Javier Gómez González,5000000.00,2012953 COP,0 COP,0,63
102335,"ZAHHAR, Mahmoud Khaled",2500000,2134921.00,0,,36
101613,Claudia Diana Ramírez González,2500000,2246464,$ 0,0 cuotas,74 años
102048,Ziad Al Zaza,12000000 COP,6507369.00,0.00,0 cuotas,14.5
102511,Diego Ramírez Hernández,12000000,5774965,3500000.00,5,30 años
101945,Alejandro Adriana Mejía Silva,18000000.00,14642908,0.00,0.0,72
102390,Juan Patricia Ortiz Martínez,"$ 18,000,000",9319691 COP,0,0,
100781,Felipe Gabriel López Sánchez,3500000,"$ 2,214,441",$ 0,0,
103575,Bashar Al Assad,7200000,3668862,$ 0,0,36
103736,Javier Gonzalo Vargas Ospina,"$ 7,200,000",5622694.00,,0,48
102285,Patricia Valentina Gutiérrez Rojas,35000000,29800542.00,12000000,8,54
101178,Verónica Moreno Rojas,25000000,20108651.00,0,0,23 años
101178,Verónica Moreno Rojas,25000000,20108651.00,0,0,23 años
100562,Sofía Rojas Rojas,18000000,9490114,"$ 6,400,000",6,37
100410,Camilo Ortiz Martínez,25000000,,0 COP,0,14.5
101666,Diosdado Cabello Rondon,"$ 18,000,000","$ 10,580,809",$ 0,0,46 años
103740,Fernando José Ortiz López,"$ 7,200,000",5885357 COP,0 COP,0,82
103227,"AL-ZAZA, Ziad",5000000 COP,"$ 2,689,124","$ 6,400,000",10 cuotas,
101165,María González Jiménez,50000000.00,"$ 20,839,406",500000,7,15
101117,Aleksandr Lukashenko,35000000,31385960 COP,$ 0,0,67
102325,Camila Jiménez Mendoza,18000000,9904508 COP,0.00,0,60
100756,Lucía José Navarro González,"$ 12,000,000","$ 10,449,518",0 COP,0,49
101071,,,$13012102,6400000.00,1.0,29
102616,Santiago Adriana Silva Sánchez,9500000.00,4765849 COP,0,0,26
103102,Diego Natalia Arias Jaramillo,$50000000,35073051,0.00,0,21
103757,,,"$ 1,264,759",,0.0,39
100673,Nicolas Maduro Moros,"$ 7,200,000",4867485,$ 0,0,63
100540,José Mariana Martínez Ospina,"$ 3,500,000","$ 2,804,929",0.00,0,74
103054,Ricardo Esteban Chávez Gómez,5000000.00,2040549.00,$ 0,0,
103662,"ZAHHAR, Mahmoud Khaled","$ 7,200,000","$ 4,677,485",6400000.00,12,42
101533,Jong-Un Kim,5000000,3800783 COP,0,,68
100544,"AL-ASSAD, Bashar",2500000,$1955423,1200000,1,22.5
103419,"SAAB MORAN, Alex Nain",2500000.00,1008265,$ 0,0,17
101886,Juliana Ortiz Gutiérrez,18000000 COP,14455509,1200000,4,50 años
100844,María Mateo Rodríguez Gutiérrez,3500000,2052840.00,0.00,0,35
101797,Ana López Navarro,2500000,1116875.00,500000,12,23
100959,Ismael Zambada Garcia,3500000 COP,,0 COP,0,68
101693,Gabriel Torres Ortiz,35000000,23861422 COP,0.00,0,61.5
101410,Camila Lucía Mejía Martínez,3500000.00,1923734.00,$ 0,0,63 años
100987,Felipe Vargas Jaramillo,3500000 COP,2276387,0,0,68.5
100994,Mateo Camilo Ramírez Suárez,12000000,4977753 COP,$ 0,0,56
101544,José Valentina Martínez Rojas,18000000.00,"$ 7,971,247",,,29
100867,Sofía Alejandro Silva Gómez,18000000,,$ 0,,68
101624,Tareck Zaidan El Aissami,25000000.00,16962312,12000000.00,2,14
101908,Paula Romero Mejía,"$ 18,000,000",14212521.00,0.00,0,18
100066,Mateo Ortiz Torres,9500000,5230373,0 COP,0,42
102045,Valentina Suárez Gutiérrez,7200000,5475238.00,0.00,0,41
102950,Verónica Paula Díaz Ramírez,18000000,14436688,0.00,0,39 años
101689,Ana Luis Martínez Gómez,12000000,5865823,0 COP,0.0,62
101528,Aleksandr Lukashenko,18000000 COP,10485139,0.00,0,38
100068,Verónica Arias Gómez,7200000,"$ 4,458,437",0 COP,0,64
102147,Lucía Camila González González,"$ 5,000,000",3788090,0 COP,0,37
102314,Esteban Navarro Ospina,35000000 COP,,0,0,
102263,María Suárez Suárez,50000000 COP,"$ 21,107,417",$ 0,0.0,60
100941,,,4718434.00,0 COP,0,18
100064,Claudia María Vargas Hernández,35000000 COP,,$500000,2,61
102773,Luis Gutiérrez Suárez,7200000,4756013,0 COP,,39
101790,José Paula Martínez González,2500000.00,"$ 2,061,475",1200000,9,69
102009,Gonzalo Rojas Valencia,18000000,"$ 12,867,842",0.00,0,47
102920,Tareck Zaidan El Aissami,2500000,2074544,0.00,0,14
100021,Daniela González Pérez,"$ 7,200,000","$ 3,882,041",0.00,0,18
101838,,,16596437.00,0,0,25
101195,José Gonzalo Suárez Gómez,9500000.00,"$ 8,163,742",0.00,0,57
100568,Gabriel Santiago Suárez Díaz,18000000,10964151,12000000 COP,12.0,62
101030,Mateo García Romero,$5000000,2467746.00,0,0,28
100027,"ZAMBADA GARCIA, Ismael",35000000,25428720,0 COP,0,42.5
102470,Alejandro Andrés Silva Hernández,7200000,3931523.00,,10,14
101540,Fernando Verónica Gutiérrez Hernández,$9500000,7481786,0,,25
102901,Juliana Rodríguez Ospina,"$ 3,500,000",2687980,0,0,31.5
101034,Mahmoud Khaled Zahhar,12000000,8422281,,0.0,74
103238,Javier Juliana Arias López,3500000,$2757355,$ 0,0 cuotas,70
103082,Paula López Navarro,$5000000,$3962123,$ 0,0,45
101602,Camilo Jorge Valencia Romero,$50000000,26683576 COP,,0,63
100475,Javier Arias Pérez,9500000,,"$ 3,500,000",4,44.5
101426,Bashar Al Assad,18000000,"$ 10,576,550",0 COP,0,54
103318,"ZAHHAR, Mahmoud Khaled",25000000,"$ 14,091,116",0 COP,0,74
101355,Santiago Gabriel Vargas Díaz,35000000 COP,$20960027,$ 0,0 cuotas,72
103020,Camila Lucía Navarro Rodríguez,$25000000,"$ 19,853,795",6400000,1 cuotas,54
103274,Sofía García González,"$ 18,000,000",9020863,0.00,0 cuotas,18.5
102404,Verónica Gonzalo Suárez Navarro,"$ 9,500,000",4191497.00,"$ 3,500,000",12,23
100482,Ricardo José Ramírez Hernández,7200000,,0,0,63
101993,Mateo Daniela Restrepo Vargas,18000000,13446279,500000,2 cuotas,
102005,Diosdado Cabello Rondon,"$ 5,000,000",3603940,,0,67 años
100039,"CARO QUINTERO, Rafael",18000000,12744684,0.00,0,58
102001,"TREVIÑO MORALES, Miguel Angel",9500000,4937398.00,6400000 COP,2,25.5
103197,Claudia Mendoza Díaz,18000000,10030533,12000000.00,10,42
103112,Diana Romero López,9500000.00,4775867,0,0,62
101076,Gabriel López Valencia,3500000.00,1821893,0,,33
103526,Rafael Caro-Quintero,50000000.00,30521588,0,0,26
101325,Sofía Paula Rojas Díaz,2500000,2185849,0 COP,0,16
101135,Jorge Torres Gómez,50000000,25653977.00,0,0,25
102365,Gabriel Esteban Mejía Torres,50000000,23817011,0.00,0,58
101999,José Claudia Romero Ospina,3500000,1942796 COP,1200000 COP,2,58
102600,HEZBOLLAH,"$ 5,000,000","$ 2,298,607",3500000.00,9 cuotas,21
103378,Jong-Un Kim,9500000,$7281445,0 COP,0,41
100188,Andrés Verónica Jiménez Martínez,35000000,20302168.00,$ 0,0,14
102820,Santiago Carlos Restrepo Castro,7200000,$5546807,500000,8.0,
100212,Natalia Romero Díaz,18000000,9220637 COP,0,0,72
100319,José Carlos Morales Jaramillo,35000000 COP,31174742,$ 0,0,14
103346,"TREVIÑO MORALES, Miguel Angel",2500000,"$ 1,461,149",0.00,0,23
100561,Laura Romero Silva,7200000.00,"$ 5,516,868",6400000,1,49.5
102959,Carlos Santiago Valencia Moreno,"$ 12,000,000",$4808772,0,0,74
103082,Paula López Navarro,,$3962123,$ 0,0,45
102266,,35000000,"$ 29,063,644",$ 0,0,47
101210,Ricardo Castro Navarro,2500000,,1200000,9 cuotas,82
101479,Diana García Gómez,3500000.00,2284498,0,0,65
100056,Camila Luis Rodríguez García,12000000,$10356251,0 COP,0,79
102874,,,22724320,0,0,15
102197,,,13312599,,0,79
100237,Luis Restrepo Gutiérrez,7200000,,1200000 COP,1 cuotas,27
102899,Ricardo Camila Sánchez Gómez,"$ 25,000,000",,1200000,3,53
103002,Patricia Ramírez Rojas,$50000000,26470516,6400000,3 cuotas,59
102570,"PURI, Genaro",25000000 COP,10632971,0 COP,0,25
103662,"ZAHHAR, Mahmoud Khaled","$ 7,200,000","$ 4,677,485",6400000.00,12,42
101001,"ABU TEIR, Mohammed",5000000,2687454,0.00,0,29
101016,,"$ 5,000,000",3176252 COP,,7,35
100734,"ZAHHAR, Mahmoud Khaled",2500000,,0.00,0,74
102265,,,14237241.00,$ 0,0,68
100616,Gabriel Verónica Castro Gutiérrez,"$ 2,500,000",,$ 0,0,38
100425,Carlos Carlos Suárez Silva,$7200000,3839497 COP,$1200000,10,78
102914,"MADURO MOROS, Nicolas",5000000.00,$2440250,0,0,
102610,Natalia José González Ramírez,$50000000,$43709212,$ 0,0,54
102870,Gabriel Hernández Navarro,7200000,2951740,0.00,0,14
100673,Nicolas Maduro Moros,"$ 7,200,000",4867485,$ 0,0,63
100370,Sofía Diego Chávez Sánchez,12000000,"$ 5,157,335",$500000,9.0,69 años
100607,"TREVIÑO MORALES, Miguel Angel",3500000,1988981 COP,0 COP,0,60
103500,Patricia Camila Rodríguez Navarro,35000000 COP,"$ 26,137,306",12000000,,81
100497,"MADURO MOROS, Nicolas",50000000 COP,29790035 COP,12000000 COP,6.0,29
100089,Natalia José Chávez García,"$ 25,000,000",11758042,0.00,0,54
100501,,,4796000,0,0,81
101449,Esteban Daniela Restrepo Vargas,18000000,11637737.00,,,44.5
102527,"SANCHEZ CEREN, Salvador",2500000,1368635 COP,1200000,7,22
100816,José Ramírez Arias,"$ 50,000,000",42330654,0 COP,0,
103202,"AL-ZAZA, Ziad","$ 18,000,000","$ 13,474,770",3500000,,15.5
100106,China Aerospace Science & Tech Corp,5000000,2242029,0.00,0.0,35
101015,HEZBOLLAH,"$ 9,500,000",4378902,$ 0,0.0,68
100721,Jorge Daniela Moreno Vargas,2500000,1451036,0 COP,0,71
103427,Juan Paula Torres Castro,3500000,"$ 2,228,748",$ 0,0,15
100896,"SANCHEZ CEREN, Salvador",18000000,10524614,0.00,0 cuotas,29
101395,Nicolas Maduro Moros,3500000,1549987.00,0.00,,27
102402,"MADURO MOROS, Nicolas",35000000 COP,26023688.00,,2 cuotas,70
101378,Luis Navarro González,25000000 COP,,0.00,0,15
102726,Verónica Camila Moreno Ortiz,5000000,4085270 COP,0,0,17
102875,"ABU TEIR, Mohammed",9500000 COP,6268518,0 COP,0,53
101303,Gabriel Jorge Arias López,25000000 COP,"$ 20,410,486",3500000.00,4,21.5
100974,Jamileh Abdullah Al-Shanti,3500000.00,3018624,$12000000,6,54
102839,Alejandro Patricia Morales Gutiérrez,2500000,1215249.00,0 COP,0,54
103000,HEZBOLLAH,2500000 COP,$1932187,3500000,,39
100666,Daniela Jaramillo Ortiz,7200000 COP,3363787,$ 0,0,24.5
100659,,,6168358,$ 0,0 cuotas,23
100643,Javier Lucía Díaz Restrepo,"$ 35,000,000",21059239.00,0.00,0,28
100972,,,"$ 1,570,560",6400000,9.0,71
100015,,,31152585,$ 0,0,33
100335,Laura Díaz Mendoza,3500000,1898871,0.00,,65 años
101519,Patricia Suárez Vargas,$18000000,11819531 COP,0 COP,0.0,
100351,Jorge Ana Torres González,$7200000,3788605,$ 0,0,56 años
102345,Ana Camilo Arias Jaramillo,"$ 7,200,000",,0,0,40
103101,Adriana Camilo Torres Sánchez,50000000,35226252,3500000,11,81
100827,Andrés Pérez Restrepo,"$ 7,200,000",$3419745,0 COP,0,75
103508,Luis Navarro Hernández,25000000,22468363,0,0,64
100607,"TREVIÑO MORALES, Miguel Angel",3500000,1988981 COP,0 COP,,
101081,Laura Juliana Moreno Arias,7200000.00,5350745,$ 0,0,79
100589,Ziad Al Zaza,35000000,17169877,12000000 COP,3 cuotas,71
103674,Mariana Adriana Restrepo Valencia,2500000,,3500000,7,43
101230,,,5797244,0 COP,0 cuotas,32
103034,José Morales Arias,50000000,$43607524,0 COP,0,73
103196,Luis Navarro Ramírez,5000000,4480869 COP,0 COP,0,73 años
101021,Mahmoud Khaled Zahhar,25000000 COP,14157868,6400000,,29
101525,Diego Diana Rodríguez Gutiérrez,3500000,1626460,0 COP,0,28
101167,Andrés Luis Gutiérrez Romero,2500000.00,2043243,$3500000,6,75
102102,Diana Javier Valencia Romero,2500000.00,1114697,0.00,0,43
100916,Mohammed Abu Teir,"$ 2,500,000",2115007.00,"$ 500,000",11,15
101032,Claudia Daniela Moreno Ospina,18000000,11730028,"$ 3,500,000",8,37
101222,,,2856832,6400000,1,74
100614,Claudia Silva Castro,35000000,"$ 16,957,232",3500000.00,9,64
101210,Ricardo Castro Navarro,2500000,2215699,1200000,9 cuotas,82
103713,Valentina Ortiz Jaramillo,2500000,1060293,"$ 3,500,000",8,14
103034,José Morales Arias,50000000,$43607524,0 COP,0,73
101722,José Ortiz Silva,3500000,2559345.00,"$ 500,000",,18
103548,"ZAHHAR, Mahmoud Khaled",50000000,24993734.00,6400000,5,14
101692,Adriana Suárez Silva,12000000,6207031,12000000,11.0,62.5
101997,Diego Vargas Pérez,3500000.00,2983363,,0,22
100857,"GUZMAN LOERA, Joaquin","$ 9,500,000",5511019,$500000,,15 años
101955,Andrés Lucía Navarro Restrepo,"$ 50,000,000",26707734,0,0,40 años
102771,Gonzalo Camilo Castro Rodríguez,25000000.00,"$ 19,998,738",500000,3.0,80 años
100267,Andrés Silva Díaz,"$ 5,000,000",3528307.00,0.00,,
101471,Alejandro Andrés Jiménez Mejía,,1079170,0.00,0.0,74
102978,"SAAB MORAN, Alex Nain","$ 50,000,000",22381053,0 COP,0,39
101536,,,1014556.00,0 COP,0 cuotas,75.5
101707,Laura Juan Martínez Sánchez,12000000,10620870,0 COP,0 cuotas,17
101233,Mohammed Abu Teir,25000000,11100248,0,0,17 años
100466,Andrés Laura Sánchez Mendoza,3500000 COP,2785620.00,0.00,,53
100656,Valentina Arias Mendoza,$2500000,2020735,0 COP,0,39
103421,Gabriel Pérez Sánchez,7200000,2887909.00,$ 0,0,46
101081,Laura Juliana Moreno Arias,,5350745,$ 0,0,79
