id_cliente,nombre_cliente,producto,cupo_preaprobado,fecha_solicitud
100222,Carlos Juliana Ospina Arias,Avena Quaker,15000000,25/05/2024
101794,Ana Ramírez Mendoza,Arena Unikat,,05-21-2024
101272,Diosdado Cabello Rondon,Avena en Hojuelas,1500000.00,2024-05-03
102935,Diana Diana Torres Mejía,Avena Quaker sin Gluten,"$ 15,000,000",14.05.2024
103775,Gabriel Felipe Suárez Castro,Avena Molida,"$ 15,000,000",2024/05/05 00:00:00
101158,Mateo Rojas Gómez,Arena Unikat,$5000000,2024/05/19 00:00:00
102260,Felipe Javier Moreno Jiménez,Avena en Hojuelas,10000000,2024/05/11 00:00:00
101303,Gabriel Jorge Arias López,,"$ 12,500,000",26/05/2024
103562,Felipe María Ramírez Jiménez,,12500000,30/05/2024
103201,Mateo Felipe García Jaramillo,Avena Quaker sin Gluten,7500000.00,05-13-2024
103573,Juliana Hernández Mejía,Avena en Hojuelas,1500000.00,05-08-2024
101817,Jorge Lucía González González,,5000000 COP,2024-05-02
101535,"CARO QUINTERO, Rafael",Donkat,3000000,05-14-2024
102038,Santiago Suárez Gutiérrez,Avena Molida,3000000,2024-05-21
100302,Carlos Diego Mendoza Díaz,Unikat,7500000 COP,05-10-2024
103495,,Unikat,2500000,19/05/2024
100033,Fernando Navarro Rojas,,"$ 35,000,000",
102607,,Avena Quaker,20000000,25.05.2024
100136,Andrés María Silva Valencia,Avena Molida,"$ 7,500,000",
102174,Mateo Ramírez Romero,Avena en Hojuelas,$5000000,2024/05/09 00:00:00
100308,Fernando Alejandro Sánchez Ospina,Harina Pancho,$4500000,05-24-2024
101083,Natalia Navarro Gómez,Avena en Hojuelas,2500000,22.05.2024
101931,Daniela Natalia González Ortiz,Harina P.A.N. Blanca,$20000000,2024-05-18
100477,Luis Diego Silva Arias,Harina Pancho,1500000 COP,2024/05/10 00:00:00
103634,"SAAB MORAN, Alex Nain",Avena en Hojuelas,3000000,05-12-2024
103414,Juliana Felipe Arias González,Unikat,20000000,2024-05-31
102808,Sofía Gabriel Romero González,Donkan,15000000 COP,21/05/2024
102628,Valentina Diego Pérez Morales,Dogourmet,20000000 COP,02.05.2024
103223,Nicolas Maduro Moros,Avena Molida,,05-25-2024
101135,Jorge Torres Gómez,Harina Pancho,3000000.00,2024-05-26
102411,Juan Moreno Gutiérrez,Donkan,1500000,
102102,Diana Javier Valencia Romero,Avena Molida,2500000,2024/05/08 00:00:00
101235,"LUKASHENKO, Aleksandr",Unikat,35000000 COP,2024/05/02 00:00:00
103683,Lucía Verónica Valencia García,Harina P.A.N. Amarilla,7500000.00,2024-05-03
102070,Gonzalo Mendoza Ospina,Avena Molida,10000000,2024-05-23
103389,Sofía Jorge Arias Jiménez,Unikat,10000000,
100274,Patricia Torres Jaramillo,Harina P.A.N. Amarilla,2500000,04.05.2024
101448,Andrés Alejandro Sánchez Arias,Dogourmet,,2024-05-24
102689,Ricardo Morales Torres,Unikat,$4500000,
100118,Claudia Lucía Rodríguez Rojas,,"$ 5,000,000",2024/05/10 00:00:00
103035,Camila Esteban García Torres,Dogourmet,1500000,2024-05-17
103181,Alejandro Silva Hernández,Avena Molida,20000000,2024-05-02
101989,Ana Claudia Valencia Restrepo,Avena Molida,12500000,07.05.2024
100454,HAMAS,Avena Quaker sin Gluten,"$ 35,000,000",16/05/2024
100837,Jorge Martínez Gómez,Avena Quaker sin Gluten,"$ 4,500,000",2024-05-25
101557,,Avena en Hojuelas,4500000.00,05-27-2024
101883,Esteban María Restrepo Rodríguez,Harina P.A.N. Amarilla,7500000.00,19/05/2024
100703,Fernando Rodríguez Hernández,Avena Molida,$12500000,30/05/2024
101621,Laura Navarro Pérez,Avena Quaker sin Gluten,7500000,2024-05-25
102979,Diana Valentina Moreno Moreno,Dogourmet,3000000,2024-05-05
103113,Nicolas Maduro Moros,,2500000,
101801,Mariana Gonzalo Hernández Torres,Harina P.A.N. Amarilla,,10.05.2024
100154,Paula Ricardo Ospina Valencia,Harina P.A.N. Blanca,,05-03-2024
102377,José Adriana Suárez Ospina,Avena en Hojuelas,1500000,
102053,Bashar Al Assad,Harina Pancho,1500000,2024/05/26 00:00:00
102898,José Camila López Gutiérrez,Unikat,12500000.00,2024-05-20
103232,Fernando Jiménez Martínez,Dogourmet,35000000,2024-05-11
100333,Fernando Torres Jiménez,Avena Molida,,2024-05-12
102289,Esteban Pérez Silva,Donkat,"$ 35,000,000",2024-05-27
100074,Camilo Restrepo Romero,Donkan,5000000,2024-05-07
100316,Valentina Ramírez Torres,Avena Quaker sin Gluten,2500000.00,18.05.2024
100664,María Andrés Suárez Torres,Harina Pancho,$20000000,06.05.2024
102770,,Arena Unikat,4500000 COP,2024-05-20
103312,Mariana Gutiérrez Silva,Unikat,4500000,05-31-2024
103345,Fernando Adriana Arias Díaz,Avena Quaker,20000000,2024-05-09
100343,,Harina Pancho,5000000,2024-05-17
100218,Jorge Paula Rodríguez Arias,Donkat,15000000,2024/05/13 00:00:00
103241,Juan González Jiménez,Harina Pancho,3000000,30.05.2024
103710,Andrés Javier Valencia Gómez,Harina P.A.N. Amarilla,1500000,2024-05-27
100499,Camilo Fernando Gutiérrez Silva,Harina P.A.N. Blanca,4500000,05-26-2024
102444,"KIM, Jong Un",Avena en Hojuelas,,2024-05-19
100006,Jong-Un Kim,Avena Molida,7500000,2024-05-14
103577,Camilo Luis Rodríguez Suárez,Unikat,1500000.00,2024-05-12
101412,"AL-SHANTI, Jamileh Abdullah",Avena Quaker,35000000.00,05-25-2024
103401,Andrés Jiménez Vargas,Dogourmet,12500000 COP,05-16-2024
100825,Luis Diego López Mendoza,Harina P.A.N. Blanca,$4500000,2024/05/11 00:00:00
101462,Juliana María Castro Mendoza,Harina P.A.N. Blanca,35000000,04.05.2024
102032,Esteban Daniela Jiménez Vargas,Arena Unikat,12500000,26/05/2024
101315,Lucía Vargas Mendoza,,2500000,2024-05-10
101831,Lucía Valencia Moreno,Harina P.A.N. Blanca,7500000.00,2024-05-14
102101,Ana Navarro Romero,Arena Unikat,35000000,2024-05-01
103188,Mariana García Gutiérrez,Dogourmet,7500000,05-31-2024
102350,Mariana Natalia Valencia García,Harina Pancho,15000000,05-11-2024
100106,China Aerospace Science & Tech Corp,Arena Unikat,3000000,
102883,"GUZMAN LOERA, Joaquin",Unikat,4500000 COP,05-10-2024
100707,,Arena Unikat,12500000 COP,05-26-2024
103487,Gonzalo Luis Mendoza Silva,Harina Pancho,35000000,12/05/2024
103244,"EL AISSAMI MADDAH, Tareck Zaidan",Harina Pancho,"$ 4,500,000",01/05/2024
101266,,Donkat,12500000.00,25/05/2024
102785,Andrés Luis Valencia Ospina,,7500000,27.05.2024
103405,Camila Andrés Restrepo Martínez,,15000000,2024-05-06
101026,Jorge Mendoza Pérez,Avena Quaker,35000000 COP,2024-05-09
100701,Juliana Díaz Torres,Dogourmet,"$ 20,000,000",2024-05-20
102627,María Juan Pérez López,Avena Molida,"$ 5,000,000",05-25-2024
101978,Juan Juliana Mendoza Silva,Avena Quaker,35000000,2024-05-15
101702,HEZBOLLAH,Unikat,12500000,2024-05-20
103115,Gonzalo Paula Navarro Ramírez,Donkan,15000000.00,2024-05-11
101015,HEZBOLLAH,Harina Pancho,2500000,31/05/2024
100777,Gabriel Santiago Hernández Hernández,Harina Pancho,12500000 COP,15/05/2024
100986,Juan Navarro Ospina,Avena Quaker,20000000,2024-05-02
101765,Javier Gómez González,Harina Pancho,"$ 5,000,000",25/05/2024
102335,"ZAHHAR, Mahmoud Khaled",Avena en Hojuelas,4500000,
101613,Claudia Diana Ramírez González,Donkan,7500000.00,12.05.2024
102048,Ziad Al Zaza,Harina P.A.N. Blanca,1500000,2024-05-23
102511,Diego Ramírez Hernández,Donkan,3000000,20.05.2024
101945,Alejandro Adriana Mejía Silva,Harina P.A.N. Blanca,7500000,2024/05/04 00:00:00
102390,Juan Patricia Ortiz Martínez,Unikat,3000000.00,05-24-2024
100781,Felipe Gabriel López Sánchez,Harina P.A.N. Blanca,12500000,05/05/2024
103575,Bashar Al Assad,Arena Unikat,"$ 1,500,000",2024-05-17
103736,Javier Gonzalo Vargas Ospina,Avena en Hojuelas,,22.05.2024
102285,Patricia Valentina Gutiérrez Rojas,Avena Quaker sin Gluten,4500000 COP,10.05.2024
101178,Verónica Moreno Rojas,Harina P.A.N. Amarilla,"$ 20,000,000",2024/05/13 00:00:00
101178,Paula Felipe Mendoza López,Arena Unikat,2500000,05-15-2024
100562,Sofía Rojas Rojas,Harina P.A.N. Amarilla,"$ 20,000,000",2024-05-08
100410,Camilo Ortiz Martínez,Donkat,"$ 7,500,000",05-04-2024
101666,Diosdado Cabello Rondon,Dogourmet,12500000,07.05.2024
103740,Fernando José Ortiz López,Harina Pancho,$10000000,2024/05/06 00:00:00
103227,"AL-ZAZA, Ziad",Unikat,3000000 COP,2024/05/31 00:00:00
101165,María González Jiménez,Unikat,35000000.00,2024/05/16 00:00:00
101117,Aleksandr Lukashenko,Avena Quaker,2500000,24/05/2024
102325,Camila Jiménez Mendoza,Dogourmet,4500000,05-28-2024
100756,Lucía José Navarro González,Harina Pancho,12500000,2024-05-08
101071,,Dogourmet,"$ 7,500,000",05-02-2024
102616,Santiago Adriana Silva Sánchez,Avena Quaker sin Gluten,7500000.00,2024/05/08 00:00:00
103102,Diego Natalia Arias Jaramillo,Avena en Hojuelas,$35000000,2024-05-25
103757,,Avena Molida,,2024/05/18 00:00:00
100673,Nicolas Maduro Moros,Donkan,15000000,2024-05-22
100540,José Mariana Martínez Ospina,Avena en Hojuelas,10000000,05-02-2024
103054,Ricardo Esteban Chávez Gómez,Avena Quaker,20000000,2024-05-14
103662,"ZAHHAR, Mahmoud Khaled",Harina P.A.N. Amarilla,12500000,2024-05-14
101533,Jong-Un Kim,Donkat,$12500000,
100544,"AL-ASSAD, Bashar",Dogourmet,7500000,18/05/2024
103419,"SAAB MORAN, Alex Nain",Harina P.A.N. Blanca,1500000 COP,05-15-2024
101886,Juliana Ortiz Gutiérrez,Donkan,3000000,2024/05/30 00:00:00
100844,María Mateo Rodríguez Gutiérrez,Harina P.A.N. Amarilla,2500000.00,05-15-2024
101797,Ana López Navarro,Avena Quaker,15000000,28.05.2024
100959,Ismael Zambada Garcia,,20000000,20.05.2024
101693,Gabriel Torres Ortiz,Avena Quaker sin Gluten,5000000,05-31-2024
101410,Camila Lucía Mejía Martínez,Dogourmet,35000000,2024-05-17
100987,Felipe Vargas Jaramillo,Avena Quaker,$5000000,05.05.2024
100994,Mateo Camilo Ramírez Suárez,Avena Quaker sin Gluten,4500000,2024/05/03 00:00:00
101544,José Valentina Martínez Rojas,Dogourmet,,
100867,Sofía Alejandro Silva Gómez,,"$ 2,500,000",
101624,Tareck Zaidan El Aissami,Avena Quaker,15000000,10/05/2024
101908,Paula Romero Mejía,Harina P.A.N. Amarilla,"$ 12,500,000",2024/05/11 00:00:00
100066,Mateo Ortiz Torres,Avena Quaker sin Gluten,15000000 COP,19.05.2024
102045,Valentina Suárez Gutiérrez,Avena en Hojuelas,35000000 COP,2024-05-11
102950,Verónica Paula Díaz Ramírez,Avena en Hojuelas,12500000,29/05/2024
101689,Ana Luis Martínez Gómez,Harina Pancho,35000000,2024-05-23
101528,Aleksandr Lukashenko,Harina P.A.N. Blanca,20000000.00,05-30-2024
100068,Verónica Arias Gómez,Avena en Hojuelas,5000000.00,2024-05-10
102147,Lucía Camila González González,Harina Pancho,4500000,2024-05-17
102314,Esteban Navarro Ospina,,4500000,27.05.2024
102263,María Suárez Suárez,Unikat,1500000.00,2024-05-23
100941,,Avena Quaker,20000000,2024/05/02 00:00:00
100064,Claudia María Vargas Hernández,,20000000,27.05.2024
102773,Luis Gutiérrez Suárez,Avena en Hojuelas,7500000,
101790,José Paula Martínez González,Avena Quaker,2500000,05-25-2024
102009,Gonzalo Rojas Valencia,Avena Quaker,7500000.00,13/05/2024
102920,Daniela Mendoza Gutiérrez,Harina P.A.N. Amarilla,2500000,13.05.2024
100021,Daniela González Pérez,Avena Quaker sin Gluten,12500000,2024-05-09
101838,,Avena en Hojuelas,15000000.00,2024-05-04
101195,José Gonzalo Suárez Gómez,Donkat,"$ 10,000,000",2024/05/24 00:00:00
100568,Gabriel Santiago Suárez Díaz,Avena Quaker sin Gluten,5000000,2024-05-05
101030,Mateo García Romero,Avena Quaker,35000000,2024-05-20
100027,"ZAMBADA GARCIA, Ismael",Donkat,$7500000,13.05.2024
102470,Alejandro Andrés Silva Hernández,Arena Unikat,,2024/05/06 00:00:00
101540,Fernando Verónica Gutiérrez Hernández,Avena Quaker sin Gluten,10000000,
102901,Juliana Rodríguez Ospina,Avena Quaker,"$ 12,500,000",05-27-2024
101034,Mateo Andrés Silva Gutiérrez,Dogourmet,,26/05/2024
103238,Javier Juliana Arias López,Donkan,15000000.00,2024-05-30
103082,Paula López Navarro,Donkan,10000000,2024-05-04
101602,Camilo Jorge Valencia Romero,Unikat,,2024-05-17
100475,Javier Arias Pérez,Arena Unikat,3000000,11/05/2024
101426,Bashar Al Assad,Unikat,2500000,23/05/2024
103318,"ZAHHAR, Mahmoud Khaled",Arena Unikat,2500000,05-11-2024
101355,Santiago Gabriel Vargas Díaz,Avena en Hojuelas,10000000 COP,08.05.2024
103020,Camila Lucía Navarro Rodríguez,Avena Molida,4500000,14/05/2024
103274,Sofía García González,Avena en Hojuelas,3000000,07/05/2024
102404,Verónica Gonzalo Suárez Navarro,Harina P.A.N. Amarilla,7500000,05-15-2024
100482,Ricardo José Ramírez Hernández,,5000000,05-12-2024
101993,Mateo Daniela Restrepo Vargas,Dogourmet,"$ 15,000,000",2024/05/21 00:00:00
102005,Diosdado Cabello Rondon,Avena Quaker sin Gluten,,27/05/2024
100039,"CARO QUINTERO, Rafael",Unikat,3000000,2024/05/13 00:00:00
102001,Verónica Verónica Arias Valencia,Harina Pancho,2500000.00,26.05.2024
103197,Claudia Mendoza Díaz,Unikat,"$ 20,000,000",25/05/2024
103112,Diana Romero López,Arena Unikat,12500000.00,2024-05-14
101076,Gabriel López Valencia,Donkan,2500000,
103526,Rafael Caro-Quintero,Arena Unikat,20000000.00,05-06-2024
101325,Sofía Paula Rojas Díaz,Arena Unikat,5000000,2024/05/09 00:00:00
101135,Laura Arias Martínez,Dogourmet,"$ 3,000,000",2024-05-05
102365,Gabriel Esteban Mejía Torres,Dogourmet,5000000.00,13/05/2024
101999,José Claudia Romero Ospina,Donkan,20000000,25.05.2024
102600,HEZBOLLAH,Dogourmet,$7500000,26/05/2024
103378,Jong-Un Kim,Avena Quaker,12500000,2024-05-27
100188,Andrés Verónica Jiménez Martínez,Harina P.A.N. Amarilla,"$ 35,000,000",2024-05-15
102820,Santiago Carlos Restrepo Castro,Harina Pancho,35000000,2024/05/28 00:00:00
100212,Natalia Romero Díaz,Donkat,35000000,23.05.2024
100319,José Carlos Morales Jaramillo,Harina Pancho,20000000,22/05/2024
103346,"TREVIÑO MORALES, Miguel Angel",Harina P.A.N. Amarilla,"$ 10,000,000",2024-05-16
100561,Laura Romero Silva,Donkat,3000000.00,2024-05-22
102959,Carlos Santiago Valencia Moreno,Avena Quaker,"$ 35,000,000",30/05/2024
103082,,Harina P.A.N. Amarilla,"$ 20,000,000",2024/05/12 00:00:00
102266,Andrés Pérez Gutiérrez,Avena Molida,"$ 20,000,000",10.05.2024
101210,Ricardo Castro Navarro,,"$ 1,500,000",2024/05/26 00:00:00
101479,Diana García Gómez,Donkan,3000000,05-27-2024
100056,Camila Luis Rodríguez García,Avena Quaker sin Gluten,4500000,2024/05/02 00:00:00
102874,,Donkat,2500000.00,05-18-2024
102197,,Donkan,,25.05.2024
100237,Luis Restrepo Gutiérrez,,2500000 COP,04/05/2024
102899,Ricardo Camila Sánchez Gómez,,1500000,2024-05-31
103002,Patricia Ramírez Rojas,Harina P.A.N. Amarilla,1500000,2024-05-14
102570,"PURI, Genaro",Harina P.A.N. Amarilla,12500000,2024-05-12
103662,Santiago Chávez González,Avena Molida,"$ 35,000,000",08.05.2024
101001,"ABU TEIR, Mohammed",Harina P.A.N. Blanca,12500000,2024-05-30
101016,María Mateo Ortiz Hernández,Donkat,,05-03-2024
100734,"ZAHHAR, Mahmoud Khaled",,15000000 COP,31/05/2024
102265,,Unikat,1500000,05-10-2024
100616,Gabriel Verónica Castro Gutiérrez,,10000000,2024-05-18
100425,Carlos Carlos Suárez Silva,Avena Quaker,15000000 COP,14/05/2024
102914,"MADURO MOROS, Nicolas",Avena Quaker sin Gluten,2500000,2024/05/08 00:00:00
102610,Natalia José González Ramírez,Donkat,2500000.00,02/05/2024
102870,Gabriel Hernández Navarro,Arena Unikat,7500000,2024-05-09
100673,Andrés Laura Torres González,Unikat,12500000,04/05/2024
100370,Sofía Diego Chávez Sánchez,Harina Pancho,35000000,05-23-2024
100607,"TREVIÑO MORALES, Miguel Angel",Harina P.A.N. Amarilla,4500000 COP,13/05/2024
103500,Patricia Camila Rodríguez Navarro,Unikat,"$ 15,000,000",2024-05-08
100497,"MADURO MOROS, Nicolas",Harina P.A.N. Blanca,$1500000,2024-05-08
100089,Natalia José Chávez García,Harina P.A.N. Amarilla,4500000 COP,15.05.2024
100501,,Harina P.A.N. Blanca,12500000,05-30-2024
101449,Esteban Daniela Restrepo Vargas,Avena Quaker,,
102527,"SANCHEZ CEREN, Salvador",Avena Quaker,35000000,2024/05/14 00:00:00
100816,José Ramírez Arias,Dogourmet,15000000,26/05/2024
103202,"AL-ZAZA, Ziad",Arena Unikat,7500000,
100106,Adriana Rojas Vargas,Donkan,20000000,29.05.2024
101015,Javier Jorge Díaz González,Dogourmet,4500000,27.05.2024
100721,Jorge Daniela Moreno Vargas,Avena Quaker,20000000,05-24-2024
103427,Juan Paula Torres Castro,Unikat,15000000,2024-05-16
100896,"SANCHEZ CEREN, Salvador",Harina P.A.N. Blanca,15000000,2024/05/11 00:00:00
101395,Nicolas Maduro Moros,Arena Unikat,3000000 COP,
102402,"MADURO MOROS, Nicolas",Arena Unikat,,28/05/2024
101378,Luis Navarro González,,7500000,06.05.2024
102726,Verónica Camila Moreno Ortiz,Avena Molida,3000000,05-24-2024
102875,"ABU TEIR, Mohammed",Avena Molida,$10000000,2024/05/25 00:00:00
101303,"SANCHEZ CEREN, Salvador",Avena Molida,4500000.00,2024/05/04 00:00:00
100974,Jamileh Abdullah Al-Shanti,Donkan,7500000,2024/05/29 00:00:00
102839,Alejandro Patricia Morales Gutiérrez,Harina P.A.N. Amarilla,7500000,04.05.2024
103000,HEZBOLLAH,Donkat,$3000000,
100666,Daniela Jaramillo Ortiz,Unikat,"$ 2,500,000",2024-05-02
100659,,Arena Unikat,2500000.00,2024/05/29 00:00:00
100643,Javier Lucía Díaz Restrepo,Harina P.A.N. Blanca,2500000,07/05/2024
100972,,Harina P.A.N. Amarilla,1500000,18.05.2024
100015,,Donkat,2500000,05-22-2024
100335,Laura Díaz Mendoza,Unikat,2500000,
101519,Patricia Suárez Vargas,Donkat,7500000,2024-05-02
100351,Jorge Ana Torres González,Dogourmet,$7500000,2024/05/14 00:00:00
102345,Ana Camilo Arias Jaramillo,,12500000,2024/05/13 00:00:00
103101,Adriana Camilo Torres Sánchez,Unikat,3000000 COP,2024/05/06 00:00:00
100827,Andrés Pérez Restrepo,Dogourmet,$3000000,2024-05-09
103508,Luis Navarro Hernández,Avena Quaker sin Gluten,15000000,2024-05-28
100607,Camilo Diana Arias Torres,Avena Molida,20000000.00,
101081,Laura Juliana Moreno Arias,Donkat,35000000,20/05/2024
100589,Ziad Al Zaza,Avena Molida,"$ 20,000,000",2024-05-13
103674,Alejandro Ana Jaramillo Rojas,,1500000,2024-05-26
101230,,Arena Unikat,"$ 12,500,000",2024-05-11
103034,José Morales Arias,Unikat,$15000000,2024-05-27
103196,Luis Navarro Ramírez,Avena en Hojuelas,20000000,2024/05/07 00:00:00
101021,Mahmoud Khaled Zahhar,Harina P.A.N. Blanca,12500000,
101525,Diego Diana Rodríguez Gutiérrez,Unikat,20000000,2024/05/31 00:00:00
101167,Paula Chávez Pérez,Harina P.A.N. Blanca,10000000,05-28-2024
102102,Jorge Sofía Rojas Arias,Harina P.A.N. Blanca,35000000,2024-05-30
100916,Mohammed Abu Teir,Avena Quaker sin Gluten,$20000000,10.05.2024
101032,Claudia Daniela Moreno Ospina,Avena Quaker,12500000,17.05.2024
101222,,Dogourmet,2500000,2024/05/11 00:00:00
100614,Claudia Silva Castro,Avena en Hojuelas,$4500000,2024/05/26 00:00:00
101210,Esteban Andrés Rodríguez Mejía,Avena Quaker sin Gluten,10000000,2024-05-24
103713,Valentina Ortiz Jaramillo,Dogourmet,7500000.00,2024-05-28
103034,Camila Jaramillo Ramírez,Avena Quaker sin Gluten,"$ 15,000,000",2024/05/06 00:00:00
101722,José Ortiz Silva,Donkan,7500000,
103548,"ZAHHAR, Mahmoud Khaled",Dogourmet,20000000.00,2024-05-20
101692,Adriana Suárez Silva,Harina P.A.N. Blanca,3000000,2024-05-07
101997,Diego Vargas Pérez,Donkan,,05-11-2024
100857,"GUZMAN LOERA, Joaquin",Harina Pancho,"$ 20,000,000",
101955,Andrés Lucía Navarro Restrepo,Donkat,1500000,07.05.2024
